,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid?,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],behavior
0,100,109.59517266206157,40,u. olhanen.,-7.99163,False,21.104568882442315,s,female,1,153.78694657768352,37.01025,"['Sea Anemone', 'Snail']",8,Moving toward warmer water pockets.
1,110,106.73718994895674,50,A. Farensis,,False,18.701675271371528,p,male,2,183.1989259740031,,"['Barnacle', 'Mussel', 'Polychaete Worm']",6,Social contact with other crabs.
2,130,78.19202140739776,20,A. Farensis,,True,37.72903179305831,j,female,3,182.10892969750287,,"['Sea Anemone', 'Coral Fragment']",12,Using claws to dig into sediment.
3,70,112.98923628759565,20,A. Farensis,,True,48.880362512223165,p,female,4,171.92092004357903,,"['Jellyfish', 'Coral Fragment', 'Algae', 'Hermit Crab', 'Shrimp']",4,Guarding eggs under abdominal flap.
4,150,129.50556707264437,50,U. olhanensis,,True,2.7904218559188005,p,male,5,172.60994020452392,,"['Sea Urchin', 'Coral Fragment']",6,Guarding eggs under abdominal flap.
5,470,125.89433294742058,40,A. Farensis,,False,39.91336540422799,s,nan,6,159.14906211786393,,"['Barnacle', 'Polychaete Worm']",8,Hiding under floating debris.
6,120,110.90676526197538,30,A farensis,,False,945.2681521080929,a,nan,7,158.8385943122262,,"['Sea Anemone', 'Polychaete Worm', 'Mussel', 'Coral Fragment']",10,Feeding on detritus in shallow water.
7,450,87.17590167803598,50,A. Farensis,,False,42.60256414503865,p,?,8,141.85076301123206,,"['Sea Star', 'Mussel', 'Barnacle', 'Algae', 'Shrimp']",9,Retreating into burrow.
8,280,100.92082600243819,90,A farensis,,False,5.2981617592577575,p,female,9,166.8213298565518,,"['Polychaete Worm', 'Crab (Other Species)', 'Mussel', 'Sea Star', 'Snail']",9,Claw snapping in competition.
9,160,114.08466176387205,20,A. Farensis,,False,263.64682200516,s,female,10,169.41869331074057,,"['Polychaete Worm', 'Sea Sponge', 'Small Fish']",11,Moving toward bait.
10,160,129.85370563519365,60,A farensis,,False,0.5236584209031884,s,female,11,161.9260388465119,,"['Snail', 'Crab (Other Species)', 'Polychaete Worm']",9,Escaping predator silhouette overhead.
11,190,90.33071851674288,50,A farensis,,False,30.116055449597123,p,female,12,185.1631881615236,,"['Algae', 'Hermit Crab']",6,Claw snapping at diver.
12,390,150.83241177054023,90,A. Farensis,,False,7.218743507316968,p,male,13,193.2096462889547,,"['Snail', 'Algae', 'Crab (Other Species)']",9,Exchanging antenna taps.
13,330,130.20510804490883,80,A. Farensis,,True,82.56623000315565,s,male,14,144.5184637489767,,"['Mussel', 'Hermit Crab', 'Crab (Other Species)']",4,Searching for mates at twilight.
14,630,155.66898696672854,70,A. Farensis,,False,11.695013633307756,p,male,15,159.61433227485165,,"['Sea Urchin', 'Coral Fragment', 'Sea Sponge', 'Mussel']",8,Claw snapping in competition.
15,160,136.45041841454042,40,A. Farensis,,False,1.348618011151167,a,male,16,171.53448289980355,,"['Sea Sponge', 'Polychaete Worm', 'Algae']",10,Searching for mates at twilight.
16,180,94.97556356811431,60,A. Farensis,,False,35.59234437104745,a,male,17,171.65547939643716,,"['Sea Urchin', 'Sea Anemone', 'Mussel']",6,Crab moving quickly across rocks.
17,200,113.99301468694159,20,A farensis,,False,22.214748549518557,s,male or female,18,152.9343318137492,,"['Sea Anemone', 'Jellyfish', 'Coral Fragment']",8,Rapid crossing of open sand.
18,300,96.66261791953956,40,u. olhanen.,,True,22.801151575312755,s,?,19,161.73171184907625,,"['Barnacle', 'Small Fish', 'Sea Star', 'Snail']",9,Climbing onto submerged logs.
19,240,120.16145458661883,20,u. olhanen.,,False,1500.0,s,male,20,171.24732624271513,,"['Snail', 'Algae', 'Shrimp']",8,Hiding under seagrass blades.
20,260,106.14668724336886,20,A. Farensis,,True,41.449617647154675,s,?,21,180.37892496305847,,"['Jellyfish', 'Crab (Other Species)', 'Sea Anemone', 'Algae']",12,Social contact with other crabs.
21,280,136.29763329673185,30,A. Farensis,,False,21.476596707165065,s,female,22,161.16862669873169,,"['Small Fish', 'Jellyfish', 'Crab (Other Species)', 'Snail']",6,Resting in shaded rock crevice.
22,250,138.77905047122644,40,A. Farensis,,False,19.02535930840979,j,female,23,168.10404601638723,,"['Hermit Crab', 'Sea Urchin']",10,Displaying dominance by lifting body.
23,250,128.7361941604106,50,A. Farensis,,False,3.7616162130537836,p,nan,24,168.672993749022,,['Snail'],8,Hiding beneath rocks.
24,230,108.00623893615605,20,A. Farensis,,False,114.45534233963014,s,male,25,154.15985139360654,,"['Sea Urchin', 'Jellyfish', 'Hermit Crab']",9,Color changes during molting.
