,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],is_gravid?,behavior
0,260,93.39933371576299,40,A. Farensis,-7.99163,False,5.507498844536286,s,male,1,118.87867700589277,37.01025,['Crab (Other Species)'],8,False,Climbing barnacle-covered surfaces.
1,150,94.15218880669103,30,A. Farensis,,False,1.8723360588154079,p,male,2,145.72123472613467,,"['Small Fish', 'Snail', 'Crab (Other Species)']",4,False,Stillness in cold water.
2,110,105.85893176837443,40,u. olhanen.,,False,1.1978135965891086,s,male,3,123.69830267003286,,"['Hermit Crab', 'Sea Star', 'Sea Urchin']",5,False,Picking biofilm on submerged wood.
3,520,82.44775337428321,20,A. Farensis,,False,17.843232328315782,s,female,4,130.31200040340474,,"['Crab (Other Species)', 'Sea Urchin', 'Small Fish', 'Barnacle']",8,False,Hiding beneath rocks.
4,350,95.67381558478763,60,A. Farensis,,False,20.297005198946568,j,male,5,131.83584862589822,,['Hermit Crab'],9,False,Vibrating antennae in water currents.
5,220,90.48111592935024,40,A farensis,,False,0.09358044514134245,s,male,6,133.8166396144356,,"['Sea Anemone', 'Snail']",10,False,Moving sideways along sandy bottom.
6,240,104.2942388396559,40,A. Farensis,,True,0.8057579491730775,s,male,7,118.51166860014618,,"['Small Fish', 'Polychaete Worm', 'Snail', 'Sea Anemone', 'Mussel']",6,True,Guarding a small hole in sediment.
7,440,85.36568199790884,80,u. olhanen.,,False,2.605084944866112,p,male,8,116.15386562965654,,"['Coral Fragment', 'Snail', 'Small Fish']",7,False,Guarding eggs under abdominal flap.
8,280,105.87782418003113,30,A. Farensis,,False,44.069961180720874,p,female,9,126.94966080077423,,"['Sea Anemone', 'Shrimp', 'Sea Urchin', 'Small Fish', 'Jellyfish']",3,False,Climbing submerged rocks.
9,230,68.60961335578993,130,A. Farensis,,False,1.7252127847305687,s,?,10,122.49950949896267,,"['Small Fish', 'Hermit Crab', 'Crab (Other Species)', 'Polychaete Worm', 'Sea Urchin']",9,False,Moving toward bait.
10,220,76.12058749853043,40,A farensis,,False,20.11890474584774,s,male,11,126.7636753108411,,"['Sea Anemone', 'Sea Star']",8,False,Waving claws rhythmically.
11,240,118.53261944216102,40,u. olhanen.,,False,0.8737524230141276,p,nan,12,124.18627110968666,,"['Jellyfish', 'Snail', 'Sea Anemone', 'Algae']",8,False,Crab moving quickly across rocks.
12,300,87.53833005925189,60,U. olhanensis,,False,2.933139759266872,j,male,13,130.2016153875344,,"['Sea Star', 'Polychaete Worm']",6,False,Climbing submerged rocks.
13,300,92.2265933284222,60,u. olhanen.,,False,4.9640963907166045,s,male,14,105.6402352775429,,"['Algae', 'Shrimp', 'Sea Sponge', 'Sea Anemone', 'Sea Star']",8,False,Burrowing into sandy sediment.
14,180,111.97808075798758,30,u. olhanen.,,False,6.990185172104601,a,male,15,130.08063999089575,,"['Barnacle', 'Mussel', 'Hermit Crab', 'Crab (Other Species)']",10,False,Retreating into burrow.
15,120,106.1245380723676,50,A. Farensis,,False,0.426659893375547,s,male,16,115.85287671205529,,"['Jellyfish', 'Crab (Other Species)', 'Sea Urchin']",11,False,Displaying dominance by lifting body.
16,350,105.55543828951585,40,u. olhanen.,,True,9.518058250571794,p,female,17,142.35727161668083,,"['Coral Fragment', 'Crab (Other Species)', 'Polychaete Worm']",13,True,Climbing barnacle-covered surfaces.
17,440,109.66068874454747,40,u. olhanen.,,False,0.3002870050394487,s,male,18,138.9730399167627,,"['Snail', 'Sea Sponge', 'Jellyfish', 'Crab (Other Species)']",11,False,Escaping from aggressive fish.
18,200,118.58591330701891,30,A. Farensis,,False,26.42055684597853,p,nan,19,137.73124425154515,,"['Algae', 'Hermit Crab']",4,False,Hiding under floating debris.
19,270,89.2574428818995,20,A. Farensis,,False,5.3042280703774605,p,male,20,120.52923563316078,,"['Snail', 'Algae']",11,False,Displaying dominance by lifting body.
20,410,108.29351549019718,30,A. Farensis,,True,1.0680664695779352,p,male,21,112.11867584304966,,"['Shrimp', 'Sea Anemone', 'Mussel', 'Polychaete Worm']",5,True,Resting in shaded rock crevice.
21,70,97.95168997947378,40,A farensis,,True,11.307827569358096,s,female,22,126.67787024509919,,"['Snail', 'Polychaete Worm', 'Sea Sponge', 'Small Fish']",12,True,Sitting still blending with environment.
22,180,106.09797504307852,50,A. Farensis,,False,0.5571320020580574,s,male,23,129.92629589779412,,"['Barnacle', 'Shrimp', 'Crab (Other Species)']",9,False,Defensive posture when approached.
23,160,105.62762713172523,20,A farensis,,False,1.4148107368395213,p,male,24,118.85131369472109,,['Sea Star'],9,False,Slow movement near seagrass patches.
24,80,105.24058635238228,30,A. Farensis,,False,0.36804927175851054,p,-,25,146.71994509202872,,['Polychaete Worm'],7,False,Climbing seaweed stalks.
25,360,101.30790756702702,20,A. Farensis,,True,0.464472345586274,p,nan,26,101.04058870977254,,"['Barnacle', 'Polychaete Worm']",11,True,Hiding beneath rocks.
26,170,104.19247520548086,30,u. olhanen.,,False,3.1501558200936612,j,male,27,130.32177804962106,,"['Sea Urchin', 'Algae', 'Barnacle']",8,False,Claw snapping at diver.
27,330,100.46582934666363,90,A farensis,,False,7.85103772269802,s,male,28,105.44393150735726,,"['Sea Star', 'Algae', 'Sea Anemone']",10,False,Swimming short distance to escape.
28,560,108.41466868630155,40,u. olhanen.,,False,2.758978988347824,s, ,29,143.52576523090747,,"['Crab (Other Species)', 'Barnacle']",11,False,Emerging cautiously from hiding.
