species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
u. olhanen.,female,sub_adult,True,Burrowing into sandy sediment.,"['Algae', 'Snail', 'Jellyfish', 'Sea Anemone', 'Sea Urchin']",6.0,38.29365891809384,45.94247887082532,65.20891743183122,39.00102216154867,39.0,2020-12-12,37.02606,-8.01873,0
u. olhanen.,female,sub_adult,True,Social contact with other crabs.,"['Barnacle', 'Sea Sponge', 'Polychaete Worm', 'Small Fish']",8.0,31.35219619818973,29.04659403319439,35.37095847119851,31.97223599859743,41.0,2020-12-12,,,1
u. olhanen.,female,pre_puberty,True,Escaping predator silhouette overhead.,"['Sea Urchin', 'Small Fish', 'Sea Sponge']",8.0,17.453856276075456,16.87264582704769,20.299814479722748,19.112426219276507,40.0,2020-12-12,,,2
A farensis,male,adult,,Struggling with entangled seaweed.,"['Crab (Other Species)', 'Sea Urchin', 'Algae', 'Coral Fragment', 'Snail']",6.0,24.0,21.933799810851006,27.08921630054213,25.574268540453588,40.0,2020-12-12,,,3
u. olhanen.,male or female,sub_adult,,Pausing frequently during exploration.,"['Crab (Other Species)', 'Hermit Crab', 'Coral Fragment']",8.0,25.0,26.847493180404648,39.95951672002708,25.00939293630448,42.0,2020-12-12,,,4
u. olhanen.,female,pre_puberty,False,Climbing seaweed stalks.,"['Coral Fragment', 'Jellyfish', 'Hermit Crab', 'Sea Anemone', 'Snail']",7.0,4.9930969532376155,6.703386348076608,8.246107981701279,5.014335063583887,40.0,2020-12-12,,,5
A farensis,male,juvenile,,Climbing seaweed stalks.,"['Sea Sponge', 'Sea Anemone']",8.0,10.0,10.832697896049346,16.062178095995904,10.817360186015716,41.0,2020-12-12,,,6
U. olhanensis,male,juvenile,,Resting in shaded rock crevice.,['Shrimp'],7.0,21.5,29.035697638823486,35.48261809863522,22.029647071065146,39.0,2020-12-12,,,7
u. olhanen.,female,adult,False,Climbing barnacle-covered surfaces.,"['Sea Star', 'Snail', 'Algae', 'Jellyfish', 'Coral Fragment']",7.0,10.673427597414788,13.539205224643403,17.072750922822276,10.687243319462453,39.0,2020-12-12,,,8
U. olhanensis,male,pre_puberty,,Burrowing into sandy sediment.,"['Polychaete Worm', 'Crab (Other Species)', 'Algae']",8.0,12.0,13.34317399586304,19.12108771260593,12.071373283138705,40.0,2020-12-12,,,9
Ucides alvorensis,male or female,adult,True,Moving toward bait.,"['Hermit Crab', 'Snail']",12.0,16.5,16.841914719600876,22.535161361812317,17.185317872047865,39.0,2020-12-12,,,10
A farensis,male,pre_puberty,,Picking algae from rock surface.,"['Hermit Crab', 'Sea Star', 'Small Fish', 'Sea Urchin', 'Mussel']",7.0,9.75,7.812677878911515,9.950259406813466,10.243335661986386,41.0,2020-12-12,,,11
A farensis,male,sub_adult,,Moving sideways along sandy bottom.,"['Sea Sponge', 'Coral Fragment', 'Sea Urchin', 'Barnacle']",5.0,28.75,33.35471675608996,46.388931640186776,29.018830243212786,39.0,2020-12-12,,,12
U. olhanensis,male,pre_puberty,,Moving sideways along sandy bottom.,['Sea Anemone'],7.0,7.5,7.204385144016725,10.430292565747461,8.141899357507697,43.0,2020-12-12,,,13
A farensis,male,sub_adult,,Exchanging antenna taps.,"['Crab (Other Species)', 'Coral Fragment', 'Snail', 'Sea Anemone', 'Polychaete Worm']",8.0,28.75,23.119220161272807,32.914892595322726,30.702285863201467,40.0,2020-12-12,,,14
U. olhanensis,male,pre_puberty,,Sideways walking along bay edge.,['Algae'],5.0,26.25,27.701568341283956,38.431585316434536,28.859776177687266,39.0,2020-12-12,,,15
u. olhanen.,female,pre_puberty,True,Struggling with entangled seaweed.,"['Barnacle', 'Shrimp', 'Sea Anemone', 'Algae', 'Crab (Other Species)']",5.0,5.282113423265979,5.426901770771268,6.62052098420888,5.355308541795307,41.0,2020-12-12,,,16
A farensis,female,sub_adult,True,Hiding under floating debris.,"['Barnacle', 'Crab (Other Species)', 'Sea Anemone', 'Shrimp', 'Small Fish']",7.0,17.258823630148356,16.64397223096166,23.97040902331736,17.547089332820953,39.0,2020-12-12,,,17
A farensis,female,sub_adult,False,Territorial display against intruder.,"['Sea Star', 'Crab (Other Species)', 'Coral Fragment', 'Algae', 'Mussel']",10.0,13.253655140375516,14.545308824443822,20.977768625355107,14.011512990551612,40.0,2020-12-12,,,18
U. olhanensis,female,sub_adult,False,Shaking claws after contact.,"['Polychaete Worm', 'Algae', 'Hermit Crab']",7.0,10.8151663615244,9.674997380153831,11.89442838208181,10.856155331218547,39.0,2020-12-12,,,19
U. olhanensis,N/R,pre_puberty,True,Emerging cautiously from hiding.,"['Sea Anemone', 'Sea Sponge', 'Coral Fragment', 'Crab (Other Species)', 'Hermit Crab']",3.0,9.0,6.419391946551096,8.61013838336364,9.47690513152701,39.0,2020-12-12,,,20
u. olhanen.,female,adult,True,Moving sideways along sandy bottom.,"['Algae', 'Jellyfish', 'Sea Anemone', 'Shrimp']",7.0,11.451918886031377,11.52761467275878,16.300856988356706,11.694962085149124,40.0,2020-12-12,,,21
U. olhanensis,female,adult,False,Swimming short distance to escape.,"['Sea Star', 'Coral Fragment', 'Snail']",9.0,22.555155160387397,19.605403407248524,29.030691372910667,23.509267240510372,39.0,2020-12-12,,,22
u. olhanen.,female,adult,True,Exchanging antenna taps.,"['Sea Sponge', 'Algae']",8.0,49.58285734955104,51.02506288329961,69.8112074248284,49.873107072391875,41.0,2020-12-12,,,23
U. olhanensis,female,adult,False,Escaping from aggressive fish.,"['Sea Sponge', 'Mussel', 'Small Fish', 'Sea Urchin', 'Sea Star']",9.0,60.64439697927215,57.37507096439147,85.46911235007046,65.7499855388964,42.0,2020-12-12,,,24
U. olhanensis,female,sub_adult,False,Sitting still blending with environment.,"['Sea Star', 'Sea Urchin', 'Coral Fragment', 'Shrimp', 'Hermit Crab']",9.0,20.690806302605363,16.740325257462906,20.092886085869363,21.371745643589975,39.0,2020-12-12,,,25
u. olhanen.,female,adult,False,Foraging among seagrass roots.,"['Barnacle', 'Snail', 'Polychaete Worm']",5.0,44.33510434083771,38.939458859721746,53.80727974188648,46.34006365667917,40.0,2020-12-12,,,26
A farensis,male,juvenile,,Exploring new territory.,"['Algae', 'Crab (Other Species)', 'Jellyfish', 'Sea Star']",7.0,17.0,15.777574430671516,20.6334977496261,17.68622042072159,38.0,2020-12-12,,,27
u. olhanen.,female,juvenile,True,Inspecting discarded crab shell.,"['Shrimp', 'Sea Urchin', 'Crab (Other Species)', 'Barnacle']",8.0,7.749959088110907,6.156534455640004,8.153926192998696,8.042744648946611,42.0,2020-12-12,,,28
Ucides alvorensis,male or female,adult,,Stillness in cold water.,"['Sea Sponge', 'Mussel']",5.0,9.0,9.100064083793214,12.031961910260446,9.626984174025322,42.0,2020-12-12,,,29
U. olhanensis,female,pre_puberty,False,Retreating quickly from shadow.,['Sea Urchin'],8.0,8.491876678720011,11.691317787125303,14.260518875404825,9.10414615215463,39.0,2020-12-12,,,30
A farensis, ,adult,,Climbing onto submerged logs.,['Barnacle'],12.0,24.0,25.56820051934173,37.970009198219834,24.776322766126775,39.0,2020-12-12,,,31
u. olhanen.,male or female,adult,,Social contact with other crabs.,['Sea Anemone'],6.0,13.5,12.918871603265789,16.682423753197497,14.05517871103735,40.0,2020-12-12,,,32
U. olhanensis,female,adult,True,Searching for food in tidal pools.,"['Sea Anemone', 'Hermit Crab', 'Barnacle']",8.0,16.77564558619312,16.574296104954968,21.035129554307932,18.358970288995675,39.0,2020-12-12,,,33
