,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour
0,30,4.046068869099185,7,u. olhanen.,-7.99163,False,1.1673799822294813,adult,?,1,13.784935161056568,37.01025,"['Polychaete Worm', 'Sea Urchin']",7,Interaction with hermit crabs.
1,12,7.550873589204012,5,A farensis,,False,0.6445333905084819,adult,male,2,13.500830481994853,,"['Algae', 'Hermit Crab', 'Sea Urchin', 'Coral Fragment', 'Snail']",4,Half buried in sand.
2,13,3.848949403612936,4,A farensis,,True,0.27358420008622886,sub_adult,male,3,14.066367252882348,,"['Polychaete Worm', 'Sea Urchin', 'Mussel']",6,Vibrating antennae in water currents.
3,49,7.243708328720604,4,A. Farensis,,True,1.3699342787595856,pre_puberty,female,4,13.598690373470559,,['Coral Fragment'],6,Mating behavior with antenna touching.
4,17,6.954495871272979,2,A. Farensis,,False,0.03598437840126451,adult,male,5,13.886696214982395,,"['Crab (Other Species)', 'Barnacle', 'Polychaete Worm', 'Coral Fragment', 'Sea Sponge']",10,Feeding on small mollusks.
5,18,5.200714748952612,6,u. olhanen.,,False,1.613986616556713,adult,nan,6,12.745259373228063,,"['Hermit Crab', 'Coral Fragment', 'Sea Urchin', 'Sea Anemone']",7,Social contact with other crabs.
6,38,5.231205963232273,7,A. Farensis,,False,0.7173609259067639,pre_puberty,male,7,16.00841996442538,,"['Algae', 'Coral Fragment']",10,Interacting with small fish nearby.
7,9,5.195449833816267,8,A. Farensis,,True,3.166127783231601,pre_puberty,male,8,13.873320802842784,,['Hermit Crab'],6,Rapid crossing of open sand.
8,33,4.233731181072184,2,A farensis,,False,0.08308323731594965,pre_puberty,female,9,12.944515158426391,,['Snail'],8,Feeding on small crustaceans.
9,19,4.319319003875611,10,A farensis,,False,0.7258565403409468,sub_adult,female,10,16.825007603532583,,['Coral Fragment'],6,Scavenging near tidal pools.
10,23,5.976371923931309,2,A farensis,,False,5.424583802667695,pre_puberty,male,11,13.27389604553331,,"['Polychaete Worm', 'Sea Urchin', 'Coral Fragment']",10,Hiding in sandy burrow.
11,13,5.236605840056504,5,A. Farensis,,False,3.572506010262757,juvenile,female,12,13.1542748242273,,"['Mussel', 'Algae']",7,Stillness in cold water.
