,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,A. Farensis,female,sub_adult,True,Protecting territory in confined space.,"['Barnacle', 'Hermit Crab', 'Sea Star']",9.0,19.46504236380675,17.989306629803185,14.712897452921688,13.829930217924295,37.02606,-8.01873,0
1,u. olhanen.,female,sub_adult,False,Guarding eggs beneath body flap.,"['Hermit Crab', 'Sea Urchin', 'Small Fish', 'Coral Fragment', 'Mussel']",11.0,17.855196774361755,18.071441124861018,12.602187674082012,13.732314397087578,,,1
2,Ucides alvorensis,N/R,pre_puberty,,Waving claw in signal to another crab.,"['Hermit Crab', 'Coral Fragment', 'Barnacle', 'Polychaete Worm', 'Crab (Other Species)']",8.0,33.0,33.17285923979684,321.9075287686771,29.825699590655002,,,2
3,u. olhanen.,female,sub_adult,False,Resting in shaded crevice along cliff.,"['Small Fish', 'Snail', 'Barnacle']",11.0,28.046678738913975,35.636666919789285,26.438295036437466,29.794812386139068,,,3
4,U. olhanensis,male,juvenile,,Displaying territorial behavior against intruder.,['Algae'],8.0,3.0,3.4955225989410033,3.0014929566842783,8.847623560234334,,,4
5,U. olhanensis,female,adult,True,Guarding hole in substrate from intruders.,"['Coral Fragment', 'Hermit Crab', 'Sea Star', 'Crab (Other Species)', 'Polychaete Worm']",8.0,32.889923061664184,34.40972743053421,33.75789080939375,28.43740461480524,,,5
6,u. olhanen.,female,adult,True,Searching tidal pools for nutrients.,['Shrimp'],8.0,14.302147501055469,15.778165839589592,14.782032336624674,12.508368659171994,,,6
7,Ucides alvorensis,N/R,pre_puberty,,Group migration across shallow seabed.,"['Small Fish', 'Mussel']",8.0,12.688136151249955,13.218805227956395,10.174850294515839,13.79464537861325,,,7
8,U. olhanensis,male,sub_adult,,Staying half-submerged in loose sand.,['Mussel'],5.0,7.5,6.656462722173936,4.801396150980639,27.122548552552043,,,8
9,A farensis,male,adult,,Interaction with nearby hermit crab.,"['Sea Anemone', 'Jellyfish', 'Crab (Other Species)', 'Sea Sponge', 'Small Fish']",10.0,22.5,20.819634898458947,16.784306243781625,278.81217018185356,,,9
10,U. olhanensis,male,sub_adult,True,Mating ritual involving antennae brushing.,"['Shrimp', 'Coral Fragment', 'Polychaete Worm', 'Sea Urchin']",8.0,17.5,14.72476661138486,159.08687539848415,11.4200017003243,,,10
11,A. Farensis,male,juvenile,,Peering out cautiously from cover.,"['Small Fish', 'Sea Anemone']",4.0,10.0,13.859880562072131,141.18504741530413,10.676595357610879,,,11
12,u. olhanen.,male,pre_puberty,,Creeping under the cover of seagrass.,"['Polychaete Worm', 'Sea Sponge', 'Hermit Crab', 'Algae']",9.0,16.5,19.261654212571944,277.30904216147485,17.142296296880225,,,12
13,u. olhanen.,female,adult,False,Claw shaking post-contact gesture.,"['Shrimp', 'Coral Fragment']",4.0,8.016512337502455,6.769976932873106,5.4354274127304905,5.297558166377571,,,13
14,U. olhanensis,female,sub_adult,False,Mating ritual involving antennae brushing.,"['Hermit Crab', 'Sea Urchin', 'Sea Anemone', 'Sea Star']",8.0,8.811126348454167,10.955807828058933,7.024912938993102,9.043941281611986,,,14
15,u. olhanen.,female,adult,False,Resisting aggressive fish encounter.,['Sea Star'],8.0,30.5351996396427,26.06886624648595,21.231891784229408,20.410571797635356,,,15
16,A. Farensis,female,juvenile,True,Lying still to avoid detection.,['Sea Sponge'],7.0,21.07096545894404,23.66889611918822,20.656359990238048,17.212725275389733,,,16
17,u. olhanen.,female,adult,False,Sheltering under broken shell piece.,['Small Fish'],8.0,17.155109755324553,17.78212159038891,12.15570552070406,13.647337654698315,,,17
18,u. olhanen.,female,juvenile,True,Claw snapping in aggressive encounter.,"['Sea Star', 'Mussel', 'Sea Urchin']",6.0,4.098163680220673,5.653546770916568,5.490837328163331,4.265000677399428,,,18
19,u. olhanen.,female,adult,True,Escaping from pursuing predator silhouette.,"['Sea Star', 'Crab (Other Species)', 'Sea Urchin', 'Algae', 'Polychaete Worm']",12.0,7.594754507876933,9.24924021399929,6.0777050110318696,7.60518049797751,,,19
20,A farensis,male,juvenile,True,Searching tidal pools for nutrients.,"['Polychaete Worm', 'Sea Urchin', 'Shrimp', 'Hermit Crab', 'Snail']",7.0,9.5,11.030906212458824,9.246122123630062,76.6018664575092,,,20
21,u. olhanen.,male,pre_puberty,,Harvesting food beneath floating debris.,"['Coral Fragment', 'Crab (Other Species)', 'Mussel', 'Sea Anemone', 'Polychaete Worm']",3.0,21.0,25.341440697679555,353.5952518177535,20.14705623707196,,,21
