,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour,108,107,94
0,35.0,10.35137970511503,2.0,A. Farensis,-8.01873,False,3.13815979791954,sub_adult,?,1.0,11.202706504355378,37.02606,"['Sea Urchin', 'Shrimp', 'Crab (Other Species)', 'Jellyfish', 'Algae']",8.0,Defensive posture when approached.,,,
1,20.0,12.194369710935655,6.0,A farensis,,False,0.9739694853711728,adult,female,2.0,10.370498510541253,,"['Sea Sponge', 'Mussel', 'Algae', 'Jellyfish', 'Hermit Crab']",5.0,Stillness in cold water.,,,
2,7.0,8.910853669282083,2.0,u. olhanen.,,False,6.687126392630656,sub_adult, ,3.0,7.227502252017513,,"['Sea Urchin', 'Small Fish']",6.0,Feeding on small crustaceans.,,,
3,26.0,9.279902753776028,3.0,A farensis,,False,1.9454384900928237,juvenile, ,4.0,9.782942718830805,,['Sea Star'],10.0,Scavenging near tidal pools.,,,
4,23.0,8.079628556428098,4.0,U. olhanensis,,False,5.275718037121967,adult,nan,5.0,9.053891180137184,,"['Barnacle', 'Sea Sponge', 'Sea Urchin', 'Mussel']",7.0,Stillness in cold water.,,,
5,16.0,9.785572836295943,7.0,A farensis,,False,15.958211572031896,pre_puberty, ,6.0,8.972916459222029,,"['Small Fish', 'Jellyfish', 'Polychaete Worm', 'Barnacle']",9.0,Defensive posture when approached.,,,
6,22.0,9.169881000591708,2.0,A. Farensis,,False,0.40909597360487976,adult,female,7.0,8.991899266443008,,['Sea Sponge'],6.0,Color changes during molting.,,,
7,14.0,8.407668864492251,3.0,u. olhanen.,,False,0.8270880590719374,adult,male,8.0,9.072567343678559,,"['Crab (Other Species)', 'Sea Sponge', 'Algae', 'Snail', 'Barnacle']",7.0,Foraging among seagrass roots.,,,
8,39.0,9.623771768465868,2.0,A. Farensis,,False,2.879737085215715,sub_adult,male,9.0,11.55291610560602,,['Hermit Crab'],7.0,Climbing submerged rocks.,,,
9,19.0,9.866042800089726,2.0,A. Farensis,,False,0.4174976188133075,sub_adult,female,10.0,7.998489438656218,,"['Shrimp', 'Sea Sponge', 'Mussel', 'Jellyfish', 'Barnacle']",4.0,Dragging shell fragment backward.,,,
10,29.0,9.539824658210296,3.0,u. olhanen.,,False,2.98854744317878,juvenile,male,11.0,10.443086043844408,,['Hermit Crab'],5.0,Searching for mates at twilight.,,,
11,9.0,9.981556224538693,5.0,A. Farensis,,False,2.2016950120178373,pre_puberty,male,12.0,9.729161729172365,,"['Shrimp', 'Polychaete Worm']",7.0,Burrowing into sandy sediment.,,,
