,cl [cm],lcl [cm],fw [cm],species_name,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],is_gravid?,behavior
0,40,9.861919664375325,2,u. olhanen.,-7.99163,True,3.4574979777104704,sub_adult,female,1,11.526531772070198,37.01025,['Polychaete Worm'],7,True,Hiding under seagrass blades.
1,8,8.82666861459759,3,A. Farensis,,False,6.432572476566256,sub_adult,male,2,15.351753745558412,,"['Polychaete Worm', 'Snail']",7,False,Climbing seaweed stalks.
2,18,7.984754117769821,5,A farensis,,False,0.7749891278177925,pre_puberty,nan,3,14.025133651702118,,"['Crab (Other Species)', 'Barnacle']",7,False,Cleaning claws with rubbing motion.
3,16,6.708656703969599,4,U. olhanensis,,False,5.857328238905425,pre_puberty, ,4,14.245219519017041,,"['Sea Anemone', 'Crab (Other Species)']",10,False,Resting under shell fragment.
4,43,9.699906414629194,7,A farensis,,False,0.48174216274083387,sub_adult,male or female,5,12.280301028011246,,['Small Fish'],11,False,Foraging among seagrass roots.
5,15,10.503569905598036,2,u. olhanen.,,False,7.028264530954471,sub_adult,male,6,12.857972230367078,,"['Sea Anemone', 'Jellyfish', 'Coral Fragment', 'Algae', 'Small Fish']",9,False,Interacting with small fish nearby.
6,14,6.846267572789812,4,u. olhanen.,,False,0.5557720050463137,sub_adult,?,7,11.47746068473507,,"['Sea Sponge', 'Snail', 'Algae', 'Hermit Crab', 'Coral Fragment']",8,False,Claw waving directed at nearby crab.
7,13,9.535760994898752,5,A. Farensis,,False,1.1598406975628512,adult,male,8,12.016252322319916,,"['Hermit Crab', 'Sea Urchin', 'Polychaete Worm', 'Jellyfish', 'Coral Fragment']",9,False,Burrowing into sandy sediment.
8,27,6.700883777693442,5,u. olhanen.,,False,3.0366920478204045,pre_puberty,male,9,12.172799705162795,,"['Coral Fragment', 'Jellyfish']",7,False,Retreating quickly from shadow.
9,29,7.454444118275867,6,A. Farensis,,False,14.455767689876561,adult,male,10,13.402562099946216,,"['Jellyfish', 'Mussel', 'Small Fish', 'Hermit Crab', 'Sea Sponge']",6,False,Rapid crossing of open sand.
10,42,7.028530428822253,9,u. olhanen.,,True,47.60928538351416,sub_adult,female,11,12.194938487202013,,"['Snail', 'Hermit Crab', 'Jellyfish']",9,True,Exploring new territory.
11,12,6.28364234968596,5,A farensis,,False,16.831746269588752,sub_adult,?,12,14.590722443710643,,"['Small Fish', 'Shrimp', 'Sea Star', 'Jellyfish', 'Barnacle']",10,False,Mating behavior with antenna touching.
12,31,6.422144408406908,2,A farensis,,False,3.5185580699083268,sub_adult,female,13,14.187822132037983,,"['Coral Fragment', 'Sea Anemone', 'Jellyfish', 'Sea Urchin', 'Barnacle']",8,False,Cleaning claws with rubbing motion.
13,8,7.571219601089251,3,A farensis,,False,0.01334146601752723,adult, ,14,13.541605931686457,,"['Jellyfish', 'Sea Anemone', 'Polychaete Worm']",5,False,Escaping predator silhouette overhead.
14,6,7.605535195958082,7,u. olhanen.,,True,34.57759297995474,sub_adult,?,15,14.24646451251204,,"['Algae', 'Mussel', 'Sea Anemone', 'Sea Sponge']",7,True,Emerging cautiously from hiding.
15,58,8.309660962017674,2,A. Farensis,,False,78.56778985191916,sub_adult,male,16,11.88336557878079,,"['Sea Sponge', 'Barnacle', 'Snail', 'Polychaete Worm']",11,False,Feeding on detritus in shallow water.
16,11,6.175607066597339,3,A. Farensis,,False,0.9340031359614731,sub_adult, ,17,13.771361611498955,,"['Snail', 'Sea Sponge', 'Polychaete Worm', 'Shrimp']",8,False,Sideways walking along bay edge.
17,26,6.832671986756264,4,A farensis,,True,17.879696936906328,sub_adult,male,18,12.047657192240962,,"['Snail', 'Mussel', 'Barnacle', 'Sea Star', 'Polychaete Worm']",6,True,Resting in shaded rock crevice.
18,15,8.963335536811249,6,u. olhanen.,,False,4.543922156826134,adult,male,19,11.825324476815434,,['Snail'],6,False,Moving in groups.
19,21,6.622058136550466,3,A farensis,,False,2.1063529263667204,sub_adult, ,20,12.975691305310667,,"['Sea Urchin', 'Snail', 'Jellyfish', 'Coral Fragment']",6,False,Half buried in sand.
20,32,6.106573222011729,2,A. Farensis,,False,12.19757833242588,sub_adult,male,21,10.497706816432268,,"['Snail', 'Sea Anemone']",6,False,Scavenging near tidal pools.
21,38,8.875574755820805,2,A. Farensis,,False,5.063108599551431,sub_adult,?,22,13.765107379163053,,"['Sea Urchin', 'Snail', 'Shrimp', 'Polychaete Worm']",6,False,Guarding a small hole in sediment.
22,37,8.515092065785767,7,A. Farensis,,False,6.505849077428685,adult,N/R,23,10.867138964458402,,"['Algae', 'Small Fish', 'Mussel', 'Barnacle', 'Polychaete Worm']",8,False,Hiding in sandy burrow.
23,14,9.501581208284568,3,A farensis,,False,0.21207507704948048,juvenile,female,24,12.978118899150218,,"['Shrimp', 'Sea Anemone', 'Polychaete Worm']",7,False,Guarding a small hole in sediment.
24,11,7.223351560047501,7,u. olhanen.,,False,2.496411527035899,sub_adult,female,25,10.228787696934049,,['Snail'],8,False,Crab moving quickly across rocks.
25,11,8.65292599023889,6,u. olhanen.,,False,0.3791847730237158,pre_puberty,male,26,15.488374522437852,,"['Polychaete Worm', 'Snail', 'Shrimp']",9,False,Inspecting discarded crab shell.
26,9,7.6444902713038765,8,A farensis,,False,8.23863680630415,sub_adult,nan,27,10.302303096665597,,"['Crab (Other Species)', 'Sea Urchin', 'Sea Anemone', 'Shrimp', 'Coral Fragment']",8,False,Moving toward bait.
27,7,6.823903666355731,4,A. Farensis,,True,3.119027749116248,sub_adult,male or female,28,13.57155407867057,,"['Jellyfish', 'Shrimp', 'Sea Sponge']",7,True,Picking biofilm on submerged wood.
28,40,9.166579816427152,4,A. Farensis,,False,32.223319277657524,adult,male,29,12.496796339503938,,"['Snail', 'Sea Urchin']",9,False,Vibrating antennae in water currents.
29,9,9.092484210663892,3,A. Farensis,,False,2.16115703386444,pre_puberty,female,30,12.707837572993391,,"['Sea Urchin', 'Sea Anemone']",7,False,Hiding beneath rocks.
30,44,5.939675815443995,3,A farensis,,True,2.498461001172932,juvenile,female,31,12.717689762220669,,"['Polychaete Worm', 'Barnacle', 'Sea Sponge', 'Sea Urchin', 'Mussel']",7,True,Climbing barnacle-covered surfaces.
31,11,9.115629782245794,2,A. Farensis,,False,1.016677246031731,pre_puberty,male,32,11.94189143413627,,['Sea Urchin'],9,False,Retreating quickly from shadow.
32,21,9.60494579556349,6,A. Farensis,,True,0.48968022771615555,sub_adult,male,33,14.99999865119394,,"['Mussel', 'Algae', 'Snail', 'Small Fish', 'Jellyfish']",9,True,Sitting still blending with environment.
33,31,13.288896803769585,2,A. Farensis,,False,6.439344074645343,sub_adult,female,34,12.012825559635145,,"['Barnacle', 'Jellyfish']",9,False,Crab moving quickly across rocks.
34,32,10.943331817509499,9,A. Farensis,,False,8.845946786994736,adult,nan,35,12.457977996624297,,['Snail'],8,False,Climbing algae-covered rocks.
35,14,6.954672216849766,2,A. Farensis,,False,5.650748270555756,sub_adult,?,36,14.297625413355586,,"['Crab (Other Species)', 'Mussel', 'Algae', 'Shrimp', 'Jellyfish']",9,False,Climbing seaweed stalks.
36,28,7.19611708670776,9,A. Farensis,,False,2.9577248882967155,adult,male,37,10.214106851199201,,"['Sea Sponge', 'Barnacle', 'Algae', 'Sea Anemone', 'Polychaete Worm']",10,False,Climbing algae-covered rocks.
37,41,9.933047939195976,2,A. Farensis,,False,12.652478471669374,sub_adult,male,38,12.415470631248095,,['Sea Anemone'],7,False,Interacting with small fish nearby.
38,42,6.879466136927568,3,U. olhanensis,,False,9.253219788023177,adult,female,39,11.59706047027278,,"['Snail', 'Polychaete Worm', 'Shrimp', 'Sea Sponge', 'Coral Fragment']",11,False,Climbing onto submerged logs.
39,17,9.536058893247535,5,A farensis,,True,9.61312687846486,pre_puberty,nan,40,12.606128685592122,,['Coral Fragment'],9,True,Retreating quickly from shadow.
