,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,u. olhanen.,male,adult,True,Scaling steep rock faces near shore.,"['Sea Sponge', 'Small Fish', 'Polychaete Worm', 'Algae']",9.0,43.5,44.2313308969665,54.986702718565276,46.40797794349679,32.0,2021-10-26,37.02606,-8.01873,0
1,A farensis,male,sub_adult,,Rapid clawing during feeding bouts.,['Sea Anemone'],11.0,27.5,30.16887246926179,41.82085270280058,29.36623718360229,31.0,2021-10-26,,,1
2,u. olhanen.,female,pre_puberty,True,Creeping under the cover of seagrass.,"['Mussel', 'Hermit Crab', 'Algae', 'Sea Sponge', 'Sea Anemone']",10.0,9.829783648434738,11.534968090632836,16.347232115463697,9.851003419127883,33.0,2021-10-26,,,2
3,U. olhanensis,female,pre_puberty,False,Brief social contact with fellow crabs.,"['Jellyfish', 'Barnacle']",7.0,12.467097037088704,11.12493056025599,15.747746857128943,13.493197077640733,31.0,2021-10-26,,,3
4,A farensis,male,sub_adult,,Group migration across shallow seabed.,"['Sea Urchin', 'Small Fish']",9.0,43.75,49.21972217411912,71.93884350248732,46.9376242426001,32.0,2021-10-26,,,4
5,u. olhanen.,female,sub_adult,True,Filtering detritus from shallow bottom.,['Polychaete Worm'],9.0,15.153673460733915,17.7775094462874,25.991028637537426,15.308958521140745,31.0,2021-10-26,,,5
6,U. olhanensis,female,adult,True,Waving claw in signal to another crab.,"['Algae', 'Barnacle', 'Mussel', 'Coral Fragment', 'Sea Sponge']",7.0,17.11947249476153,18.650783024146808,24.460364102681865,17.295628774669538,31.0,2021-10-26,,,6
7,U. olhanensis,female,sub_adult,False,Collecting biofilm from sunken wood.,"['Coral Fragment', 'Barnacle', 'Mussel']",4.0,17.004766594251656,16.803077941479984,22.255702199268434,17.18674901582046,32.0,2021-10-26,,,7
8,A. Farensis,-,adult,,Engaging in antennae-to-antennae contact.,"['Algae', 'Snail', 'Shrimp', 'Coral Fragment', 'Sea Star']",11.0,30.0,31.071159539114173,40.70675407261501,30.54803742902907,32.0,2021-10-26,,,8
9,A farensis,male,adult,,Picking algae carefully off rock faces.,['Small Fish'],10.0,48.0,47.224707006504815,58.38401233425606,50.18256924061244,32.0,2021-10-26,,,9
10,A. Farensis,male,adult,True,Color change during molting stress.,"['Shrimp', 'Jellyfish', 'Sea Sponge']",6.0,48.0,46.91995561409194,60.74560127863276,49.62434566031368,31.0,2021-10-26,,,10
11,A. Farensis,female,sub_adult,False,Emerging slowly after perceived threat.,['Barnacle'],7.0,20.230085717605238,23.24488484834288,28.88408213308509,21.88024486434334,32.0,2021-10-26,,,11
12,A farensis,male,adult,,Color change during molting stress.,"['Jellyfish', 'Polychaete Worm', 'Crab (Other Species)', 'Shrimp', 'Small Fish']",10.0,25.5,27.987560125042346,35.92302604340112,27.63581597601285,32.0,2021-10-26,,,12
13,u. olhanen.,female,adult,True,Rhythmic waving as social cue.,"['Crab (Other Species)', 'Sea Star']",7.0,23.58805294465785,25.877856617773933,34.81580383718774,25.344443479011627,32.0,2021-10-26,,,13
14,u. olhanen.,female,sub_adult,False,Camouflaging with nearby mud.,"['Small Fish', 'Barnacle', 'Polychaete Worm']",13.0,17.6122137680134,18.000506168787936,24.919154391478212,18.784896856463213,31.0,2021-10-26,,,14
15,U. olhanensis,female,sub_adult,False,Vibrating antennae in flowing current.,"['Algae', 'Mussel']",6.0,35.414811332385135,41.14649295836897,51.16648359453988,35.626656685874615,31.0,2021-10-26,,,15
16,A farensis,male,sub_adult,,Side-stepping along sandy coastal floor.,"['Sea Sponge', 'Sea Star', 'Sea Anemone', 'Mussel', 'Polychaete Worm']",9.0,45.0,44.06461528656336,59.51831531685294,46.60691277616687,30.0,2021-10-26,,,16
17,A farensis,male,pre_puberty,,Retreating swiftly from perceived danger.,"['Snail', 'Hermit Crab', 'Coral Fragment']",9.0,43.5,44.10522892616728,62.75006422024704,45.86062437402291,31.0,2021-10-26,,,17
18,U. olhanensis,male,pre_puberty,,Progressing cautiously through new area.,"['Small Fish', 'Sea Sponge', 'Algae']",5.0,26.25,23.705174953637233,34.46502692589858,28.715697757143662,32.0,2021-10-26,,,18
19,u. olhanen.,female,adult,True,Side-stepping along sandy coastal floor.,"['Sea Anemone', 'Coral Fragment', 'Polychaete Worm', 'Sea Sponge']",7.0,28.007426409693718,26.11637513449679,34.285896313209065,30.785614393763588,32.0,2021-10-26,,,19
20,U. olhanensis,male,pre_puberty,True,Scuttling swiftly over rocky terrain.,"['Sea Star', 'Sea Sponge']",6.0,17.25,20.47157672646717,28.134132265716907,18.083882626348245,31.0,2021-10-26,,,20
21,A farensis,female,sub_adult,False,Grazing on mollusks among debris.,"['Sea Anemone', 'Algae']",8.0,24.858671503004757,22.603404459679254,33.19187800896591,26.141161333706766,32.0,2021-10-26,,,21
22,u. olhanen.,female,adult,True,Scuttling swiftly over rocky terrain.,['Shrimp'],8.0,29.553261225998156,25.844333908536445,34.45462581805696,29.88953874323073,30.0,2021-10-26,,,22
23,A. Farensis,male,pre_puberty,,Camouflaging with nearby mud.,"['Jellyfish', 'Crab (Other Species)', 'Small Fish']",9.0,16.5,14.627002774438504,20.30679540459813,17.444094426012683,32.0,2021-10-26,,,23
24,u. olhanen., ,juvenile,,Filtering detritus from shallow bottom.,"['Sea Urchin', 'Crab (Other Species)', 'Sea Star']",8.0,32.0,23.030496498086926,27.698763520017803,34.40331052900129,33.0,2021-10-26,,,24
25,u. olhanen.,female,pre_puberty,False,Harvesting food beneath floating debris.,"['Crab (Other Species)', 'Polychaete Worm', 'Algae', 'Sea Sponge']",10.0,9.270861513692942,12.736800592275564,18.971014865046545,9.627610469879293,32.0,2021-10-26,,,25
26,u. olhanen.,male,sub_adult,,Claw snapping in aggressive encounter.,"['Sea Anemone', 'Jellyfish', 'Hermit Crab', 'Snail']",9.0,26.25,29.12320824816912,38.37540397928242,27.044887613870145,30.0,2021-10-26,,,26
27,U. olhanensis,female,adult,True,Sifting through sediment for scraps.,"['Sea Anemone', 'Polychaete Worm', 'Algae']",8.0,36.55310662128667,41.37626889628888,54.28143300325227,39.11161664887929,33.0,2021-10-26,,,27
28,u. olhanen.,male,juvenile,,Scaling steep rock faces near shore.,['Polychaete Worm'],11.0,2.5,1.8605741888704694,2.6109167342734754,2.532108412349011,29.0,2021-10-26,,,28
29,A. Farensis,female,juvenile,False,Scaling steep rock faces near shore.,"['Barnacle', 'Sea Anemone']",6.0,16.198779388818604,19.829854534770977,28.352278924228326,17.42293765662047,29.0,2021-10-26,,,29
30,u. olhanen.,female,sub_adult,False,Brief social contact with fellow crabs.,"['Shrimp', 'Crab (Other Species)']",7.0,37.048679021373374,31.8137093315031,45.02265936349685,37.09206207610024,31.0,2021-10-26,,,30
31,U. olhanensis,male,adult,,Traversing algae-slick rock surfaces.,"['Crab (Other Species)', 'Jellyfish', 'Coral Fragment']",6.0,7.5,7.122484231723523,9.872978227574677,8.132782529663999,30.0,2021-10-26,,,31
32,A farensis,male,sub_adult,,Concealing self beneath floating matter.,['Sea Urchin'],9.0,13.75,14.605349940423974,20.954716376095952,14.269005022534852,32.0,2021-10-26,,,32
33,A farensis,female,pre_puberty,False,Taking cover beneath seagrass leaves.,['Crab (Other Species)'],4.0,13.725612066713392,17.654602411576878,22.9778700512141,14.345926558008047,30.0,2021-10-26,,,33
34,u. olhanen.,female,pre_puberty,False,Side-stepping along sandy coastal floor.,"['Sea Sponge', 'Algae', 'Barnacle', 'Small Fish']",8.0,26.46192054246597,18.161318893272355,25.652929976122486,27.8451978028681,32.0,2021-10-26,,,34
35,U. olhanensis,female,pre_puberty,False,Traversing algae-slick rock surfaces.,"['Polychaete Worm', 'Barnacle']",9.0,15.429518803816894,14.58271734834255,18.567728173369545,16.711745307415637,32.0,2021-10-26,,,35
36,A. Farensis,female,adult,False,"Stationary, blending into rocky backdrop.","['Jellyfish', 'Mussel', 'Coral Fragment', 'Hermit Crab', 'Snail']",9.0,65.18180504654431,71.67429954732542,97.2051165714801,66.10943931849332,30.0,2021-10-26,,,36
37,u. olhanen.,male,adult,,Claw snapping in diver confrontation.,"['Hermit Crab', 'Coral Fragment', 'Sea Anemone', 'Sea Urchin']",8.0,57.0,55.83293252445967,83.67870334214294,60.89362733122073,33.0,2021-10-26,,,37
