,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],latitude,longitude,id
0,U. olhanensis,female,a,False,Filtering detritus from shallow bottom.,"['Sea Anemone', 'Mussel', 'Polychaete Worm', 'Shrimp', 'Small Fish']",5.0,4.606270109480331,4.425369905624341,3.15234393206174,3.6632330328326366,37.1,-8.62,0
1,A. Farensis,male,p,,Lying still to avoid detection.,"['Small Fish', 'Snail', 'Sea Star', 'Sea Urchin']",7.0,1.9090909090909092,2.080721664820869,11.312100079225393,1.8142718908434845,,,1
2,A farensis,male,j,,Approaching small fish with curiosity.,"['Sea Urchin', 'Snail', 'Jellyfish', 'Polychaete Worm']",10.0,2.5454545454545454,1.6049335051002716,1.2312340547789233,7.499682215308628,,,2
3,U. olhanensis,male,j,,Picking algae carefully off rock faces.,"['Sea Sponge', 'Mussel']",6.0,0.6363636363636364,0.8441148538799972,3.1090486676698417,0.675622911509906,,,3
4,A farensis,female,p,False,Resisting aggressive fish encounter.,['Sea Star'],5.0,1.6116252627336562,2.162410649304038,1.3813243362860406,1.7384678939257086,,,4
5,u. olhanen.,male,s,,Sheltering under broken shell piece.,"['Coral Fragment', 'Polychaete Worm', 'Algae', 'Sea Sponge', 'Jellyfish']",5.0,3.75,4.10420838345874,40.43291714190831,2.9123278251858364,,,5
6,U. olhanensis,female,j,False,Darting away in response to sudden shadow.,"['Hermit Crab', 'Polychaete Worm', 'Small Fish', 'Sea Sponge']",9.0,1.5542038406553338,1.1508917106343672,0.8407320897623375,1.0295210323320474,,,6
7,A farensis,female,a,False,Engaging in struggle with seaweed entanglement.,"['Sea Anemone', 'Barnacle', 'Shrimp']",3.0,2.3358956276264293,2.946587658991933,1.8133983224822439,2.478024395554677,,,7
8,u. olhanen.,female,a,False,Engaging in struggle with seaweed entanglement.,['Crab (Other Species)'],6.0,2.7970227949026776,2.9204684966389824,1.7689775168841566,2.5180133768564392,,,8
9,u. olhanen.,male,p,,Frequent pausing while exploring.,"['Snail', 'Polychaete Worm', 'Shrimp', 'Barnacle', 'Mussel']",7.0,2.4545454545454546,2.382983867995868,2.0337281773703677,16.670782176616683,,,9
10,u. olhanen.,female,s,False,Gradual movement in cold conditions.,"['Crab (Other Species)', 'Algae', 'Mussel', 'Sea Urchin']",6.0,3.383816566514858,4.1899238917511346,3.2200479984394352,3.7225262604686473,,,10
11,U. olhanensis,male,s,,Scaling steep rock faces near shore.,"['Mussel', 'Algae', 'Snail', 'Sea Urchin']",2.0,3.522727272727273,3.163354969969055,2.361111899913062,29.80217292520988,,,11
12,u. olhanen.,male,a,,Frequent pausing while exploring.,"['Shrimp', 'Polychaete Worm', 'Sea Urchin']",6.0,4.5,4.817180518090671,4.317571809582871,51.78350103521388,,,12
13,U. olhanensis,male,s,,Scaling steep rock faces near shore.,['Hermit Crab'],2.0,1.9318181818181819,1.923374566141977,11.24753793138491,1.7068037069909172,,,13
14,U. olhanensis,male,a,,Nibbling detritus off seabed patches.,"['Algae', 'Sea Sponge', 'Polychaete Worm']",6.0,5.318181818181818,4.812089612101089,57.67726472583222,3.5381891583621523,,,14
15,A farensis,male,a,,Emerging slowly after perceived threat.,['Snail'],5.0,2.727272727272727,2.484006732393688,1.7657834735580251,18.977445401526744,,,15
16,A farensis,male,j,,Feeding on small crustaceans in crevices.,"['Sea Star', 'Sea Anemone', 'Small Fish', 'Snail']",4.0,0.36363636363636365,0.31569513240014985,0.5349266215531778,0.2305370382380037,,,16
17,u. olhanen.,male,a,,Claw snapping in diver confrontation.,"['Polychaete Worm', 'Hermit Crab', 'Barnacle']",8.0,4.090909090909091,4.335095922062043,3.3489853086172205,50.03058125026703,,,17
18,u. olhanen.,female,s,False,Entering burrow after disturbance.,"['Sea Sponge', 'Snail', 'Hermit Crab']",6.0,1.988633273189516,2.429317508587438,1.5294027703257291,2.0859055912485687,,,18
19,A. Farensis,female,a,False,Picking algae carefully off rock faces.,"['Algae', 'Polychaete Worm', 'Crab (Other Species)']",7.0,8.207697054768987,7.1661690659756525,4.7399807477397955,6.1826375756926755,,,19
20,U. olhanensis,female,p,False,Clambering up submerged tree trunks.,"['Algae', 'Polychaete Worm', 'Small Fish', 'Mussel', 'Crab (Other Species)']",7.0,2.0327856370525064,2.100709279044875,1.613742856065664,1.72398466259394,,,20
21,A farensis,male,a,,Inspecting remains of another crab.,['Sea Star'],6.0,6.545454545454546,6.374503176547487,94.23178050314587,5.586891828003157,,,21
22,U. olhanensis,female,j,False,Clambering up submerged tree trunks.,['Crab (Other Species)'],5.0,1.5784880959002707,1.1656386750963852,0.8358242876368142,0.9783256523421223,,,22
23,u. olhanen.,male,s,,Camouflaging with nearby mud.,"['Barnacle', 'Mussel', 'Sea Urchin']",4.0,5.113636363636363,4.709838285216742,50.713960169238106,3.8558518857306137,,,23
24,A. Farensis,female,a,True,Guarding eggs beneath body flap.,"['Sea Anemone', 'Mussel', 'Hermit Crab', 'Sea Star']",7.0,4.422493540283846,5.449772830427603,3.350664869877757,4.468118382514504,,,24
25,u. olhanen.,male,a,,Searching tidal pools for nutrients.,"['Sea Anemone', 'Jellyfish', 'Snail', 'Barnacle']",6.0,0.8181818181818182,0.778472390986873,2.351112257142929,0.555058307726346,,,25
26,A farensis,female,s,False,Waving claw in signal to another crab.,['Crab (Other Species)'],7.0,3.7736813713930073,2.840503932688424,2.1698193235429866,2.30680627966543,,,26
27,U. olhanensis,female,s,False,Group migration across shallow seabed.,"['Sea Anemone', 'Algae', 'Sea Sponge', 'Mussel', 'Crab (Other Species)']",5.0,1.1444160605247526,1.0182864312126414,0.6665336425754748,0.8378219981748642,,,27
28,A. Farensis,male,s,,Retreating swiftly from perceived danger.,"['Mussel', 'Snail']",11.0,4.204545454545454,4.959027650336643,4.0981744678160625,59.289358430133376,,,28
29,u. olhanen.,female,j,False,Displaying territorial behavior against intruder.,['Barnacle'],7.0,1.121183373086001,1.2664427920667536,0.8873396277137174,1.0771130966756026,,,29
30,A. Farensis,female,a,False,Brief social contact with fellow crabs.,"['Sea Anemone', 'Shrimp', 'Sea Star', 'Snail', 'Jellyfish']",4.0,5.403136283784797,5.82412910065132,3.7371616837930133,5.1815935504576185,,,30
31,u. olhanen.,male,s,,Guarding hole in substrate from intruders.,"['Small Fish', 'Snail', 'Jellyfish']",8.0,3.2954545454545454,3.1631887543849757,22.986887569340634,2.3234280831765926,,,31
32,A farensis,male,a,,Rhythmic waving as social cue.,"['Barnacle', 'Small Fish', 'Sea Sponge', 'Polychaete Worm']",7.0,6.0,6.258212478194012,4.689364435935845,93.44306534216507,,,32
33,A farensis,male,a,,Sheltering under broken shell piece.,['Snail'],5.0,3.409090909090909,3.5840454308923486,2.668013012446528,32.74630112903288,,,33
34,A farensis,female,a,False,Guarding eggs beneath body flap.,['Sea Sponge'],4.0,5.506290241556299,6.37450705143783,4.388803798413324,5.423219095562382,,,34
35,U. olhanensis,male,a,,"Stationary, blending into rocky backdrop.",['Coral Fragment'],10.0,5.590909090909091,5.146261447265791,4.182566593113889,54.840628452343005,,,35
36,A farensis,female,s,False,Rapid clawing during feeding bouts.,"['Sea Urchin', 'Shrimp', 'Hermit Crab']",8.0,2.355243996042158,2.3045349953035683,1.6215196726396994,2.0588216677687528,,,36
37,A farensis,male,j,,Consuming algae scraped from barnacles.,"['Barnacle', 'Small Fish', 'Algae', 'Polychaete Worm']",9.0,1.6818181818181819,1.3677231566846975,5.760331814749642,1.1039042348965695,,,37
38,A farensis,female,a,False,Consuming algae scraped from barnacles.,['Sea Sponge'],3.0,3.071345155255217,3.178526927269802,2.179793232609387,-999.0,,,38
39,A farensis,female,j,False,Swiftly dashing across exposed sand.,"['Crab (Other Species)', 'Shrimp', 'Small Fish', 'Algae']",9.0,0.8099390316528221,0.5743763624941294,0.4215268781202592,0.48857508279993367,,,39
40,A farensis,female,j,False,Concealing self beneath floating matter.,"['Algae', 'Hermit Crab', 'Snail', 'Crab (Other Species)']",4.0,1.4287849209075285,0.992638168259631,0.7281475408907044,0.8527682350910091,,,40
41,A. Farensis,male,a,,Approaching small fish with curiosity.,"['Small Fish', 'Barnacle', 'Hermit Crab', 'Sea Sponge', 'Sea Star']",6.0,0.9545454545454546,0.9829474305057446,0.857258610472811,3.228001834804591,,,41
42,A farensis,female,s,False,Gradual movement in cold conditions.,"['Crab (Other Species)', 'Snail']",4.0,1.6260156246167201,1.480645779840426,0.9781503572742697,1.2210923125127788,,,42
43,U. olhanensis,male,s,,Defensive claw movement in water.,"['Barnacle', 'Snail', 'Jellyfish']",4.0,5.340909090909091,4.725098155512809,3.5271920419125027,53.48013429581495,,,43
44,u. olhanen.,male,s,,Feeding on small crustaceans in crevices.,"['Sea Star', 'Sea Sponge', 'Small Fish']",3.0,3.977272727272727,3.8868806318651186,40.68218263896412,3.258871955873227,,,44
45,U. olhanensis,male,j,,Slowly navigating around seagrass beds.,['Polychaete Worm'],12.0,1.5454545454545454,1.8189991167735349,10.514946196294643,1.5222852200143036,,,45
46,A farensis,male,a,,Darting away in response to sudden shadow.,"['Sea Sponge', 'Polychaete Worm', 'Mussel', 'Sea Urchin', 'Small Fish']",7.0,4.5,4.109809910620131,3.5559493474460635,46.773954321664945,,,46
47,u. olhanen.,female,s,False,Sheltering under broken shell piece.,"['Sea Star', 'Crab (Other Species)', 'Hermit Crab']",4.0,6.092741777967301,6.4137254345219,4.4447863805635,5.473296609552396,,,47
48,u. olhanen.,female,p,False,Darting away in response to sudden shadow.,['Barnacle'],7.0,1.232095954585459,1.3324258572198564,0.8424255939170486,1.1402956702681388,,,48
49,A farensis,female,a,False,Swimming briefly to avoid disturbance.,"['Coral Fragment', 'Small Fish']",6.0,4.385777305082069,3.690771879320164,2.4234961069707093,3.253315861552472,,,49
50,A. Farensis,male,s,True,Claw snapping in diver confrontation.,"['Barnacle', 'Sea Anemone']",7.0,1.5909090909090908,1.759008516394865,9.37963305094832,1.4556331106387865,,,50
51,A. Farensis,female,s,False,Reacting to sudden changes in temperature.,"['Mussel', 'Crab (Other Species)', 'Polychaete Worm']",3.0,1.324567424590288,1.376493789186613,0.9239258124419151,1.18433436600344,,,51
52,U. olhanensis,female,a,False,Camouflaging with nearby mud.,"['Sea Star', 'Jellyfish', 'Sea Sponge']",7.0,5.153633973988057,5.34479157224813,3.283060641099958,4.687804326477514,,,52
53,u. olhanen.,male,a,,Vibrating antennae in flowing current.,"['Sea Star', 'Small Fish', 'Sea Sponge', 'Jellyfish']",8.0,6.2727272727272725,5.831016060958027,74.6251818061236,4.946830368301081,,,53
54,U. olhanensis,female,a,False,Inspecting remains of another crab.,['Algae'],3.0,1.4983033028999702,1.4981564951323556,0.9462709230792775,1.330206694434067,,,54
55,U. olhanensis,male,p,,Gradual movement in cold conditions.,"['Barnacle', 'Polychaete Worm', 'Shrimp', 'Algae']",6.0,2.9318181818181817,2.983064660943562,2.26204309297519,21.695903225716748,,,55
56,A farensis,female,p,False,Scuttling swiftly over rocky terrain.,"['Small Fish', 'Polychaete Worm', 'Coral Fragment', 'Mussel']",3.0,1.1902254833310055,1.2467657156326746,0.8023575156801908,1.0959081417562486,,,56
57,U. olhanensis,male,s,,Camouflaging with nearby mud.,['Coral Fragment'],8.0,2.3863636363636362,2.1091535577008655,1.7770060620011265,13.060633994081275,,,57
58,A farensis,male,s,,Progressing cautiously through new area.,['Small Fish'],6.0,1.4772727272727273,1.730322035719495,9.28373839486326,1.458881646644334,,,58
59,u. olhanen.,male,a,,"Stationary, blending into rocky backdrop.","['Polychaete Worm', 'Snail']",4.0,3.409090909090909,3.217013781038308,2.635143994104378,30.53682444416165,,,59
