,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour
0,14,10.560788899038208,3,A. Farensis,-8.01873,True,0.5822805656371376,sub_adult,male,1,10.681187327490843,37.02606,['Sea Sponge'],8,Climbing algae-covered rocks.
1,29,10.192788263487683,3,U. olhanensis,,False,82.04546137780898,sub_adult,female,2,12.013532803268212,,"['Sea Anemone', 'Crab (Other Species)', 'Small Fish']",6,Dragging shell fragment backward.
2,34,8.642375272558187,4,A. Farensis,,True,19.28970314233861,sub_adult, ,3,11.344817344318503,,['Mussel'],8,Using claws to dig into sediment.
3,16,9.02734684648582,3,A. Farensis,,False,8.59899020794425,sub_adult,nan,4,7.848340641105405,,['Jellyfish'],8,Using claws to dig into sediment.
4,62,6.684179221732944,7,U. olhanensis,,False,6.6067580899106275,sub_adult,female,5,20.00420801017338,,['Coral Fragment'],9,Pausing frequently during exploration.
5,44,8.310180373258655,2,A. Farensis,,True,46.309665479500445,pre_puberty,-,6,13.911286873463382,,"['Snail', 'Mussel', 'Jellyfish', 'Polychaete Worm', 'Sea Urchin']",4,Inspecting discarded crab shell.
6,17,7.624704248008388,5,u. olhanen.,,False,15.409144307963473,sub_adult,male,7,11.771062572369553,,"['Polychaete Worm', 'Hermit Crab', 'Coral Fragment', 'Sea Urchin']",6,Rapid crossing of open sand.
7,11,9.98182245757368,6,A farensis,,False,6.376987380673798,sub_adult,male,8,3.390031953751663,,"['Small Fish', 'Sea Anemone', 'Hermit Crab', 'Coral Fragment', 'Polychaete Worm']",8,Searching for mates at twilight.
8,28,10.059729253646669,5,u. olhanen.,,False,150.0,pre_puberty, ,9,16.760775980561238,,"['Snail', 'Shrimp', 'Sea Sponge', 'Hermit Crab']",7,Feeding on small crustaceans.
9,31,13.202401117284822,7,U. olhanensis,,False,47.55169283803773,sub_adult,female,10,13.180328321636226,,"['Jellyfish', 'Crab (Other Species)', 'Shrimp', 'Barnacle']",6,Sitting still blending with environment.
10,8,12.579894747187527,7,A. Farensis,,False,7.962245010831173,juvenile,nan,11,8.904612479510492,,"['Crab (Other Species)', 'Snail', 'Algae']",7,Moving in groups.
11,42,9.560769120221487,9,u. olhanen.,,False,10.336296924479289,pre_puberty,male,12,13.236128180991493,,"['Crab (Other Species)', 'Shrimp', 'Snail', 'Sea Sponge']",8,Climbing vertical rock face.
12,13,10.848493710418454,8,A. Farensis,,False,0.047602593837436896,sub_adult,N/R,13,9.593378870036371,,"['Algae', 'Sea Anemone', 'Shrimp']",7,Picking detritus from seabed.
13,40,6.59642017102484,6,A. Farensis,,False,0.41616688209086244,pre_puberty,male,14,15.563773261353031,,"['Sea Sponge', 'Sea Anemone']",9,Using claws to dig into sediment.
14,29,7.135467837181923,5,u. olhanen.,,False,44.748959229516906,sub_adult,male or female,15,9.727186737203152,,"['Algae', 'Shrimp', 'Sea Anemone', 'Sea Star', 'Mussel']",12,Moving toward bait.
15,50,13.504403777174248,5,u. olhanen.,,False,0.7255406730552199,juvenile, ,16,16.364966792380645,,"['Small Fish', 'Sea Urchin']",10,Foraging among seagrass roots.
