,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour
0,4,7.269504302992416,2,U. olhanensis,-7.99163,False,44.34363111126541,sub_adult,male,1,11.94866756855913,37.01025,"['Barnacle', 'Sea Star']",7,Feeding on small mollusks.
1,10,8.504558330748505,5,A. Farensis,,False,4.934623179671289,juvenile,male,2,9.880849515830713,,"['Sea Star', 'Sea Urchin', 'Barnacle', 'Algae', 'Polychaete Worm']",8,Moving toward warmer water pockets.
2,26,7.91752594214926,6,A farensis,,False,32.671526138028085,adult,?,3,10.990716304109474,,"['Shrimp', 'Jellyfish', 'Sea Anemone', 'Sea Star', 'Barnacle']",9,Displaying dominance by lifting body.
3,15,7.31230563985855,2,U. olhanensis,,False,4.737439436885779,juvenile,female,4,10.540242728111016,,"['Barnacle', 'Polychaete Worm']",9,Vibrating antennae in water currents.
4,10,7.970278506920483,5,U. olhanensis,,False,17.536644788481766,sub_adult,male or female,5,10.814373378167451,,"['Sea Sponge', 'Hermit Crab', 'Algae', 'Sea Urchin']",10,Using claws to dig into sediment.
5,14,7.789199658319399,2,A farensis,,False,19.041271248437635,sub_adult,female,6,11.452781394847174,,"['Sea Urchin', 'Hermit Crab', 'Crab (Other Species)', 'Sea Sponge']",10,Interacting with small fish nearby.
6,35,7.334391449185154,13,A farensis,,False,17.811278191886544,juvenile,female,7,9.654066859576439,,"['Barnacle', 'Shrimp', 'Jellyfish', 'Polychaete Worm', 'Sea Star']",6,Stillness in cold water.
7,35,7.949119030806048,2,A. Farensis,,False,22.148540916554605,juvenile,?,8,7.7530208194949015,,['Small Fish'],11,Rapid claw movement while feeding.
8,13,8.424788665209155,8,A farensis,,False,33.97984986606414,juvenile,male,9,10.799116831214631,,"['Shrimp', 'Mussel']",6,Displaying dominance by lifting body.
9,25,8.42306729801691,2,A. Farensis,,False,31.99910850551576,sub_adult,male,10,9.602169273235532,,"['Mussel', 'Sea Urchin', 'Barnacle']",5,Defensive posture when approached.
10,14,9.200596735864945,4,A. Farensis,,False,9.876061831115553,pre_puberty,female,11,10.149103718926696,,"['Crab (Other Species)', 'Shrimp', 'Barnacle', 'Coral Fragment', 'Polychaete Worm']",7,Color changes during molting.
11,29,8.811050159960558,3,A. Farensis,,False,16.61463877248401,adult,-,12,11.379524205911713,,['Sea Sponge'],8,Moving toward bait.
12,22,7.320686589983273,3,U. olhanensis,,True,20.270600661196177,sub_adult,male,13,10.795375366000515,,"['Mussel', 'Crab (Other Species)', 'Sea Star', 'Coral Fragment']",8,Rapid crossing of open sand.
13,14,8.053260799202464,2,A farensis,,True,46.72352434372711,sub_adult,male,14,10.893927188850245,,"['Algae', 'Small Fish', 'Shrimp', 'Mussel', 'Crab (Other Species)']",8,Resting under shell fragment.
14,21,8.273881474929567,5,A farensis,,True,7.921803765893888,pre_puberty,male,15,9.789901476050392,,"['Hermit Crab', 'Coral Fragment', 'Mussel']",6,Moving toward warmer water pockets.
15,15,8.783461980717563,13,A farensis,,False,25.200242776313935,pre_puberty,male,16,9.515861986087748,,"['Sea Urchin', 'Hermit Crab', 'Crab (Other Species)']",5,Claw snapping in competition.
16,21,7.950695398952811,8,u. olhanen.,,False,35.62404501001416,sub_adult,male,17,9.729313616096414,,['Jellyfish'],5,Searching for food in tidal pools.
17,20,8.120897129277298,4,u. olhanen.,,False,3.8109591379006353,pre_puberty,male,18,9.16782826123071,,"['Mussel', 'Sea Anemone', 'Shrimp']",8,Shaking claws after contact.
18,21,6.09730234619782,3,A. Farensis,,False,3.4431148234508573,sub_adult,?,19,9.589147446163924,,['Snail'],11,Feeding on small crustaceans.
19,14,8.658721093568385,7,A. Farensis,,False,21.629563379526214,juvenile,female,20,10.204156714121867,,['Shrimp'],9,Resting under shell fragment.
20,10,6.640166941543383,4,A. Farensis,,False,58.71582453873844,pre_puberty,?,21,9.419722869462564,,"['Small Fish', 'Sea Anemone', 'Sea Urchin', 'Barnacle']",15,Interacting with small fish nearby.
21,4,7.249234132931368,7,A farensis,,False,24.75729671960872,juvenile,male,22,10.091737275029724,,"['Hermit Crab', 'Coral Fragment', 'Algae', 'Shrimp']",10,Climbing algae-covered rocks.
22,26,7.845363016641114,6,A farensis,,True,72.22949141039541,pre_puberty,female,23,10.637815167560202,,"['Coral Fragment', 'Shrimp']",8,Exploring new territory.
23,14,7.620073763671809,3,u. olhanen.,,False,26.895969630224165,sub_adult,male,24,10.594379766358939,,"['Mussel', 'Algae']",9,Rapid claw movement while feeding.
24,32,6.89212802832107,3,A farensis,,True,23.328271087872285,pre_puberty,female,25,9.831025815652524,,"['Hermit Crab', 'Sea Anemone', 'Barnacle']",10,Slow movement near seagrass patches.
25,24,8.604058334543414,4,A farensis,,False,96.13459578374744,pre_puberty,?,26,10.844237559785062,,"['Sea Star', 'Hermit Crab', 'Snail']",8,Resting under shell fragment.
26,30,8.953798560894246,4,A farensis,,False,13.944949482687855,sub_adult,male,27,11.856252402952343,,"['Snail', 'Sea Anemone']",8,Half buried in sand.
27,19,6.988440870491959,3,A. Farensis,,False,11.402429610891373,adult,?,28,10.428431350669193,,"['Barnacle', 'Sea Star', 'Mussel', 'Sea Anemone']",7,Guarding eggs under abdominal flap.
28,25,7.983878085796951,8,A farensis,,False,5.016101849536226,pre_puberty,?,29,10.255856859321023,,"['Barnacle', 'Polychaete Worm', 'Coral Fragment']",9,Moving sideways along sandy bottom.
29,23,7.992515634191987,3,u. olhanen.,,False,62.05674203848458,pre_puberty,male,30,9.349647490759263,,"['Shrimp', 'Sea Sponge', 'Algae', 'Sea Star', 'Polychaete Worm']",8,Foraging among seagrass roots.
