species,sex,stage,species_name,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
,male or female,pre_puberty,U. olhanensis,True,Mating behavior with antenna touching.,['Small Fish'],6.0,1.7727272727272727,1.2488059645105738,1.6234571083525713,1.8421102498883863,2.1818181818181817,2022-06-29,37.1,-8.62,0
, ,pre_puberty,A farensis,,Stillness in cold water.,['Shrimp'],8.0,1.1590909090909092,1.1802776723122255,1.675694473429453,1.2171437209023885,2.1818181818181817,2022-06-29,,,1
,male,juvenile,A farensis,,Claw snapping in competition.,['Coral Fragment'],5.0,3.909090909090909,2.7988565691026825,3.9945678214371942,3.930067560372948,2.0,2022-06-29,,,2
,male,pre_puberty,A farensis,,Inspecting discarded crab shell.,"['Mussel', 'Snail']",5.0,1.5,1.2513853885516022,1.668689653252862,1.6371382894546642,2.090909090909091,2022-06-29,,,3
,male,juvenile,u. olhanen.,,Climbing algae-covered rocks.,"['Sea Anemone', 'Small Fish', 'Shrimp']",4.0,2.409090909090909,1.5507833588401418,2.269120837440454,2.5493105117046295,2.0,2022-06-29,,,4
,male,adult,A. Farensis,,Dragging shell fragment backward.,['Sea Star'],4.0,3.8181818181818183,3.686453886266087,4.442645319206158,4.113182349433259,2.0,2022-06-29,,,5
,male,pre_puberty,u. olhanen.,,Claw snapping at diver.,"['Mussel', 'Barnacle', 'Sea Urchin']",6.0,2.4545454545454546,2.6928256050782333,3.4298528979418776,2.6903716600716217,2.090909090909091,2022-06-29,,,6
,female,sub_adult,A farensis,False,Guarding eggs under abdominal flap.,"['Sea Anemone', 'Sea Sponge', 'Hermit Crab']",5.0,1.671238150925799,1.5292589936866976,2.1330840316083344,1.7488631546670115,2.090909090909091,2022-06-29,,,7
,male,adult,u. olhanen.,,Interacting with small fish nearby.,"['Mussel', 'Shrimp', 'Algae', 'Polychaete Worm', 'Small Fish']",10.0,1.7727272727272727,1.8707229149192548,2.454448485034442,1.897298012157762,2.1818181818181817,2022-06-29,,,8
,female,adult,u. olhanen.,False,Exploring new territory.,"['Sea Star', 'Polychaete Worm', 'Mussel', 'Crab (Other Species)']",5.0,5.225209028940048,4.9270111838428114,6.948980627688999,5.551355978915699,2.0,2022-06-29,,,9
,female,adult,A farensis,False,Feeding on small crustaceans.,"['Sea Sponge', 'Small Fish', 'Hermit Crab', 'Polychaete Worm', 'Sea Anemone']",5.0,4.4239529016535135,5.462468442475501,7.590707982585656,4.602369091644261,2.090909090909091,2022-06-29,,,10
,male,sub_adult,U. olhanensis,,Foraging among seagrass roots.,"['Sea Anemone', 'Shrimp']",12.0,4.545454545454546,3.7595134051205847,5.0617145864800746,4.76239157668176,2.1818181818181817,2022-06-29,,,11
,female,adult,A farensis,False,Scavenging near tidal pools.,"['Algae', 'Coral Fragment', 'Shrimp']",8.0,2.6917177893701365,3.0758308227592552,4.074769074846124,2.7083741155305416,2.090909090909091,2022-06-29,,,12
,male,adult,A farensis,,Exploring new territory.,"['Shrimp', 'Barnacle', 'Hermit Crab', 'Sea Star', 'Snail']",12.0,3.272727272727273,3.069666467900302,4.276158706748883,3.4077533148575343,2.090909090909091,2022-06-29,,,13
,female,pre_puberty,A farensis,True,Displaying dominance by lifting body.,"['Small Fish', 'Sea Anemone', 'Hermit Crab', 'Shrimp']",5.0,0.6355873950349857,0.8754729126159296,1.3066864494394057,0.6825344284622912,2.0,2022-06-29,,,14
,female,pre_puberty,u. olhanen.,False,Climbing algae-covered rocks.,"['Snail', 'Sea Urchin']",5.0,2.763041288714834,2.990641150195288,3.8952089290698066,2.834420860537233,2.1818181818181817,2022-06-29,,,15
,male,sub_adult,Ucides alvorensis,,Interacting with small fish nearby.,"['Polychaete Worm', 'Algae', 'Sea Anemone', 'Snail']",4.0,4.318181818181818,4.326441403422797,6.373239902796911,4.588482321920474,2.090909090909091,2022-06-29,,,16
,male,juvenile,u. olhanen.,,Using claws to dig into sediment.,"['Crab (Other Species)', 'Shrimp', 'Mussel', 'Coral Fragment']",6.0,2.3636363636363638,2.6189421733761375,3.345955174012755,2.5599905677777617,2.1818181818181817,2022-06-29,,,17
