,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
0,U. olhanensis,male,adult,True,Escaping predator silhouette overhead.,"['Coral Fragment', 'Shrimp', 'Algae', 'Jellyfish', 'Crab (Other Species)']",3.0,5.045454545454546,5.36652048184498,8.036269129363337,5.488806143166559,1.9090909090909092,2022-08-30,37.1,-8.62,0
1,u. olhanen.,female,adult,False,Interaction with hermit crabs.,"['Shrimp', 'Sea Sponge', 'Crab (Other Species)', 'Barnacle', 'Small Fish']",4.0,3.2276516943845155,2.862168216427902,4.11506089059666,3.3712594506485867,2.0,2022-08-30,,,1
2,A farensis,female,juvenile,False,Rapid claw movement while feeding.,"['Small Fish', 'Jellyfish', 'Crab (Other Species)']",6.0,1.9478361403725655,1.2811026092368658,1.6266928963236316,2.1416578533394786,1.9090909090909092,2022-08-30,,,2
3,A. Farensis,male,pre_puberty,,Struggling with entangled seaweed.,['Crab (Other Species)'],5.0,2.659090909090909,1.98548845589427,2.5148848444034995,2.8299003954190036,2.090909090909091,2022-08-30,,,3
4,U. olhanensis,male,adult,,Inspecting discarded crab shell.,"['Jellyfish', 'Small Fish', 'Shrimp']",7.0,6.409090909090909,6.348399400063968,8.699537019598425,6.860123350302074,1.9090909090909092,2022-08-30,,,4
5,u. olhanen.,male,pre_puberty,,Crab moving quickly across rocks.,"['Crab (Other Species)', 'Barnacle', 'Shrimp']",8.0,2.659090909090909,3.0792215938435676,4.5636757121955895,2.8729263147282413,1.9090909090909092,2022-08-30,,,5
6,Ucides alvorensis,-,sub_adult,,Moving in groups.,['Coral Fragment'],9.0,2.0454545454545454,2.2733465231601544,2.882453697869751,2.132870544953659,2.0,2022-08-30,,,6
7,u. olhanen.,female,pre_puberty,True,Pausing frequently during exploration.,"['Coral Fragment', 'Snail']",7.0,2.874932601130808,2.9028364800339217,3.5260772403763783,3.0634705084348766,1.8181818181818181,2022-08-30,,,7
8,A. Farensis,male,adult,,Territorial display against intruder.,"['Shrimp', 'Mussel', 'Algae', 'Jellyfish', 'Sea Urchin']",6.0,5.454545454545454,5.316887423082323,6.461105101534426,5.53909641177244,1.9090909090909092,2022-08-30,,,8
9,U. olhanensis,female,pre_puberty,False,Climbing algae-covered rocks.,"['Coral Fragment', 'Mussel', 'Small Fish']",7.0,1.6366202837267778,1.954956265940423,2.7477189581225416,1.6828702120419508,2.090909090909091,2022-08-30,,,9
10,u. olhanen.,female,sub_adult,False,Hiding beneath rocks.,['Hermit Crab'],8.0,2.4502246090215896,2.8102031529417304,3.891313222858606,2.6327205123753386,2.0,2022-08-30,,,10
11,A. Farensis,male or female,sub_adult,,Waving claws rhythmically.,"['Hermit Crab', 'Algae', 'Small Fish']",1.0,5.909090909090909,6.351462621554663,7.711960878593957,5.937734652435942,1.9090909090909092,2022-08-30,,,11
12,Ucides alvorensis,male,adult,,Slow movement near seagrass patches.,"['Sea Anemone', 'Mussel', 'Barnacle']",7.0,7.5,8.107235211631185,11.022217749153933,7.8708535942573965,2.0,2022-08-30,,,12
