species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
A. Farensis,female,adult,False,Exchanging antenna taps.,"['Polychaete Worm', 'Algae', 'Sea Sponge']",7.0,5.659429896403791,4.833616703934873,7.110012351319873,5.839404441486483,1.8181818181818181,2022-09-11,37.1,-8.62,0
u. olhanen.,female,sub_adult,False,Searching for mates at twilight.,"['Sea Anemone', 'Sea Sponge']",5.0,4.290934030445831,4.568888153730014,5.758641367181339,4.491405811356014,1.8181818181818181,2022-09-11,,,1
U. olhanensis,male,adult,,Inspecting discarded crab shell.,"['Snail', 'Jellyfish', 'Polychaete Worm']",5.0,4.2272727272727275,3.9659394824165357,5.288573671081691,4.311546855065358,1.8181818181818181,2022-09-11,,,2
U. olhanensis,male,adult,,Climbing submerged rocks.,['Barnacle'],6.0,4.5,4.531233999841371,6.310304758049605,4.836941126096451,2.0,2022-09-11,,,3
A farensis,male,juvenile,,Sitting still blending with environment.,['Sea Urchin'],7.0,2.3636363636363638,2.9003360431811154,4.270320331849637,2.3665519014301117,1.9090909090909092,2022-09-11,,,4
u. olhanen.,male,pre_puberty,,Crab moving quickly across rocks.,"['Coral Fragment', 'Barnacle']",8.0,2.590909090909091,3.341832935056667,4.4471978273756685,2.626707212675442,2.0,2022-09-11,,,5
Ucides alvorensis,female,pre_puberty,True,Feeding on small mollusks.,"['Sea Sponge', 'Snail', 'Shrimp', 'Sea Star']",11.0,1.5115550632134371,1.7960744705949552,2.4419908868820044,1.6624419659037428,2.0,2022-09-11,,,6
U. olhanensis,female,adult,False,Exploring new territory.,"['Small Fish', 'Mussel', 'Polychaete Worm', 'Sea Anemone']",10.0,1.5327160244470919,1.581647020465418,1.9923451874656393,1.5715906480093331,2.090909090909091,2022-09-11,,,7
u. olhanen.,male,adult,,Claw snapping at diver.,"['Jellyfish', 'Sea Urchin', 'Sea Sponge', 'Snail', 'Hermit Crab']",5.0,7.5,8.187556091954425,10.693955115605407,7.936287252081951,2.0,2022-09-11,,,8
A farensis,male,pre_puberty,,Sitting still blending with environment.,"['Coral Fragment', 'Crab (Other Species)', 'Sea Sponge']",5.0,3.0,2.9388538622906255,3.56600101283595,3.0423146213723427,1.8181818181818181,2022-09-11,,,9
A farensis,male,sub_adult,True,Climbing onto submerged logs.,"['Sea Urchin', 'Crab (Other Species)', 'Jellyfish', 'Sea Sponge']",8.0,2.727272727272727,2.3355398970770236,3.3549853449087284,2.769986088436877,1.7272727272727273,2022-09-11,,,10
A. Farensis,female,sub_adult,True,Retreating into burrow.,"['Shrimp', 'Sea Anemone']",5.0,5.8651354510042015,4.585161390842997,5.696739126024046,5.921715666205025,1.9090909090909092,2022-09-11,,,11
A farensis,male,pre_puberty,,Territorial display against intruder.,"['Hermit Crab', 'Algae', 'Shrimp', 'Crab (Other Species)']",4.0,1.9772727272727273,2.3930468708275487,3.093031243411366,2.148194675503443,1.7272727272727273,2022-09-11,,,12
u. olhanen.,male,adult,,Retreating into burrow.,"['Crab (Other Species)', 'Jellyfish', 'Sea Urchin', 'Barnacle']",8.0,7.2272727272727275,7.946649319158658,10.313237699286168,7.379305942059355,1.8181818181818181,2022-09-11,,,13
u. olhanen.,male,sub_adult,,Climbing seaweed stalks.,"['Small Fish', 'Coral Fragment']",7.0,1.3636363636363635,1.5291722687136309,1.8460477173788568,1.4223560167855187,1.8181818181818181,2022-09-11,,,14
A. Farensis,female,pre_puberty,False,Struggling with entangled seaweed.,['Sea Urchin'],10.0,1.0444055643982353,1.2201687778867631,1.6648152737330244,1.1116345562492285,1.9090909090909092,2022-09-11,,,15
A farensis,female,sub_adult,False,Picking biofilm on submerged wood.,"['Hermit Crab', 'Polychaete Worm', 'Coral Fragment', 'Mussel']",6.0,4.757049124935133,4.493639977179797,5.7565826669931255,4.979734843707073,2.090909090909091,2022-09-11,,,16
U. olhanensis,male,pre_puberty,,Mating behavior with antenna touching.,"['Hermit Crab', 'Jellyfish', 'Algae', 'Sea Urchin', 'Mussel']",7.0,2.1818181818181817,2.7478041282844377,3.4217498781297184,2.3011702781664836,1.9090909090909092,2022-09-11,,,17
u. olhanen.,-,juvenile,,Sideways walking along bay edge.,['Coral Fragment'],6.0,0.8636363636363636,0.6502494626959399,0.8415390478995629,0.9055770259103292,1.8181818181818181,2022-09-11,,,18
Ucides alvorensis,male,pre_puberty,,Picking detritus from seabed.,['Sea Star'],5.0,3.0681818181818183,3.859016936742057,5.396741921859833,3.163165884517397,2.0,2022-09-11,,,19
U. olhanensis,female,pre_puberty,False,Hiding under seagrass blades.,"['Snail', 'Small Fish', 'Polychaete Worm', 'Shrimp', 'Algae']",5.0,1.6087725254225071,1.90034443073208,2.3476352517687142,1.6769800169373001,1.9090909090909092,2022-09-11,,,20
